kod;rodzina;kodbarwy;ilosc;psu;ppsu;sterowanie;klasa;kolor;IP;IK;vin;hz;vs;zmienne;p;flux;wyd;pled;fluxled;wydled;cri;cct;barwa;masa;montaz;temperatury;dyfuzor;wymiary;dopisek;foto;rys;rozsyl;uwagi
xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;1F;solid-foto;solid-wymiary_1.2ft;GL-SOLID-86710;3F
GL-SOLID-86740-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86850;16;2080;129;120;2600;162;>80;4000 K;Neutralna biel;4,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86750-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86860;19;2480;130;120;3100;163;>80;4000 K;Neutralna biel;4,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86760-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86870;26;3440;132;120;4300;165;>80;4000 K;Neutralna biel;4,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86770-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86880;36;4900;136;120;6120;170;>80;4000 K;Neutralna biel;4,3;Zwieszany / nastropowy;-25°C do 40°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86924-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86930;50;6950;140;120;8690;174;>80;4000 K;Neutralna biel;4,4;Zwieszany / nastropowy;-25°C do 40°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86780-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86890;19;2590;133;120;3240;171;>80;4000 K;Neutralna biel;5,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1600 (1050);Tak;solid-foto;solid-wymiary_1.5ft;GL-SOLID-86710;Tak
GL-SOLID-86790-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86900;23;3080;132;120;3850;167;>80;4000 K;Neutralna biel;5,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1600(1050);Tak;solid-foto;solid-wymiary_1.5ft;GL-SOLID-86710;Tak
GL-SOLID-86800-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86910;39;4270;134;120;5340;137;>80;4000 K;Neutralna biel;5,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1600(1050);Tak;solid-foto;solid-wymiary_1.5ft;GL-SOLID-86710;Tak
GL-SOLID-86810-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86920;44;6220;140;120;7780;177;>80;4000 K;Neutralna biel;5,3;Zwieszany / nastropowy;-25°C do 40°C ;Satynowane szkło hartowane;120x67x1600(1050);Tak;solid-foto;solid-wymiary_1.5ft;GL-SOLID-86710;Tak
GL-SOLID-86925-840-D;SOLID;840;;Tak;;DALI;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86931;71;9850;139;120;12310;173;>80;4000 K;Neutralna biel;5,4;Zwieszany / nastropowy;-25°C do 40°C ;Satynowane szkło hartowane;120x67x1600(1050);Tak;solid-foto;solid-wymiary_1.5ft;GL-SOLID-86710;Tak
